;prediction;expected
0;#insendeiu#;#odeiu#
1;#hemedeiu#;#medeiu#
2;#duka#;#bOiu#
3;#puluu#;#bOtu#
4;#tOmurxugulg;#tOku#
5;#le#;#fOku#
6;#xovu#;#xOru#
7;#notealava#;#nOtu#
8;#sortu#;#surtu#
9;#digu#;#digu#
10;#fasu#;#fasu#
11;#insatisfasu;#satisfasu#
12;#manteniu#;#maufasu#
13;#kreiu#;#kreiu#
14;#meresmintu#;#mintu#
15;#sentu#;#sintu#
16;#meresu#;#mEsu#
17;#impEsu#;#imponiu#
18;#prosuponiu#;#suponiu#
19;#anteponiu#;#deponiu#
20;#esponiu#;#esponiu#
21;#disponiu#;#disponiu#
22;#fExu#;#firu#
23;#veju#;#vistu#
24;#seniu#;#sirvu#
25;#kohiju#;#sigu#
26;#kompitu#;#hepitu#
27;#deteniu#;#deteniu#
28;#teniu#;#teniu#
29;#provenxe#;#protEstu#
30;#espEsu#;#espEru#
31;#xegu#;#pEgu#
32;#segu#;#sEgu#
33;#preveju#;#preveju#
34;#viaju#;#veniu#
35;#adiveniu#;#adiveniu#
36;#julgu#;#juntu#
37;#garantu#;#gastu#
38;#indu#;#findu#
39;#entupu#;#kuspu#
40;#konsumu#;#sumu#
41;#moe#;#mohu#
42;#fExu#;#axu#
43;#atinju#;#finju#
44;#kontradizen;#kontu#
45;#dansu#;#pensu#
46;#dezistu#;#ezistu#
47;#komprimu#;#kumpru#
48;#xamu#;#amu#
49;#permitu#;#omitu#
50;#desklui#;#devu#
51;#kohompu#;#hompu#
52;#sendu#;#sedu#
53;#bulu#;#busku#
54;#eskutu#;#eskutu#
55;#mantenifEst;#matu#
56;#pare#;#pagu#
57;#sakudu#;#saiu#
58;#ateniu#;#batu#
59;#infOrmitu#;#durmu#
60;#desprosusus;#destruu#
61;#eskubui#;#esvaiu#
62;#sustendu#;#suspendu#
63;#kantohu#;#kaiu#
64;#esprimu#;#imprimu#
65;#hemedeiu#;#hemedu#
66;#infEkitu#;#influu#
67;#sakudu#;#sauvu#
68;#prendu#;#prendu#
69;#disponiu#;#distraiu#
70;#sakudu#;#akudu#
71;#subimetu#;#subu#
72;#heleiu#;#eleju#
73;#konsigu#;#konstruu#
74;#tendu#;#tendu#
75;#akompaniu#;#ganiu#
76;#asendu#;#aseitu#
77;#konfiru#;#konfuju#
