,infinitive,predicted,target,class,correct
14,odia,ottu,odeiu,class__ansiar,0
11,media,manku,medeiu,class__ansiar,0
11,hemedia,hetediu,hemedeiu,class__ansiar,0
10,sortea,so$resu,sorteiu,class__ansiar,0
10,intermedia,intentetiu,intermedeiu,class__ansiar,0
13,insendia,insenitiu,insendeiu,class__ansiar,0
12,pleitea,plefiru,pleiteiu,class__ansiar,0
13,ansia,anse$u,anseiu,class__ansiar,0
10,pasea,pareiu,paseiu,class__ansiar,0
23,tosta,tOstu,tOstu,class__botar,1
16,entorta,entrEtu,entOrtu,class__botar,0
18,hetorna,hetrimu,hetOrnu,class__botar,0
22,torna,tOrtu,tOrnu,class__botar,0
21,informa,infEstu,infOrmu,class__botar,0
17,enkosta,enkO$tu,enkOstu,class__botar,0
21,posta,pOstu,pOstu,class__botar,1
19,ora,Osu,Oru,class__botar,0
20,mora,mOsu,mOru,class__botar,0
21,xora,xOru,xOru,class__botar,1
21,hekorta,hekOrtu,hekOrtu,class__botar,1
20,toma,tOsu,tOmu,class__botar,0
18,toka,tOku,tOku,class__botar,1
19,foka,fO,fOku,class__botar,0
24,bota,bOtu,bOtu,class__botar,1
20,mostra,tontru,mOstru,class__botar,0
18,soka,sOku,sOku,class__botar,1
17,heboka,hekubu,hebOku,class__botar,0
22,nota,tOnu,nOtu,class__botar,0
23,boia,bOku,bOiu,class__botar,0
20,koloka,kopOlu,kolOku,class__botar,0
19,oLa,oou,OLu,class__botar,0
17,korta,korsu,kOrtu,class__botar,0
19,kosa,kOsu,kOsu,class__botar,1
18,aumosa,amuspu,aumOsu,class__botar,0
19,gosta,desku,gOstu,class__botar,0
20,volta,joxku,vOltu,class__botar,0
15,joga,jo,jOgu,class__botar,0
16,akorda,akutru,akOrdu,class__botar,0
16,troka,trEku,trOku,class__botar,0
4,enkobri,enkubru,enkubru,class__cobrir,1
3,sorti,s$$ru,surtu,class__cobrir,0
5,hekobri,hekuttu,hekubru,class__cobrir,0
3,engoli,enkluu,engulu,class__cobrir,0
3,tosi,tOsu,tusu,class__cobrir,0
3,kobri,ko$du,kubru,class__cobrir,0
4,deskobri,deskondu,deskubru,class__cobrir,0
76,kontradize,kontradiku,kontradigu,class__dizer,0
74,interdize,interdigu,interdigu,class__dizer,1
77,entredize,entretidu,entredigu,class__dizer,0
81,kondize,kondigu,kondigu,class__dizer,1
83,hedize,hedeseou,hedigu,class__dizer,0
82,dize,dido,digu,class__dizer,0
80,desdize,des$tu,desdigu,class__dizer,0
26,transfaze,transf$su,transfasu,class__fazer,0
24,maufaze,imfasuu,maufasu,class__fazer,0
24,esfaze,esfasu,esfasu,class__fazer,1
23,harefaze,hetasfisu,harefasu,class__fazer,0
22,tohefaze,so$esfasu,tohefasu,class__fazer,0
24,kontrafaze,kontrafasu,kontrafasu,class__fazer,1
25,likefaze,i$vafuru,likefasu,class__fazer,0
27,insatisfaze,insentadeiiu,insatisfasu,class__fazer,0
22,satisfaze,satesfasu,satisfasu,class__fazer,0
25,perfaze,perfasu,perfasu,class__fazer,1
26,benfaze,pesfasu,benfasu,class__fazer,0
23,putrefaze,prnferva,putrefasu,class__fazer,0
23,adijaze,adivesu,adijasu,class__fazer,0
22,faze,fas,fasu,class__fazer,0
21,despraze,destittu,desprasu,class__fazer,0
9,kre,kEru,kreiu,class__ler,0
9,tresle,tre$lu,treleiu,class__ler,0
9,le,$li,leiu,class__ler,0
11,hele,heleiu,heleiu,class__ler,1
12,deskre,destetu,deskreiu,class__ler,0
81,persenti,pertintu,persintu,class__mentir,0
80,hesenti,hetentu,hesintu,class__mentir,0
75,asenti,asentu,asintu,class__mentir,0
76,menti,mentu,mintu,class__mentir,0
75,senti,sintu,sintu,class__mentir,1
73,konsenti,konsintu,konsintu,class__mentir,1
78,desmenti,desmEstu,desmintu,class__mentir,0
79,presenti,presintu,presintu,class__mentir,1
26,idea,$teiu,ideiu,class__none,0
28,ouvi,o$ufu,ousu,class__none,0
27,estrea,estreiu,estrEiu,class__none,0
30,pode,pontu,pOsu,class__none,0
29,entrekere,entretidu,entrekEru,class__none,0
30,kere,kreiu,kEru,class__none,0
25,sobresta,subrEdtu,sobrestou,class__none,0
28,prove,provexu,proveNu,class__none,0
26,esta,estru,estou,class__none,0
31,sabe,sapu,sei,class__none,0
27,ekivale,e$gexiju,ekivaLu,class__none,0
28,da,t,dou,class__none,0
27,kabe,kabu,kaibu,class__none,0
25,desda,dez$u,dEsdu,class__none,0
29,traze,tras,tragu,class__none,0
28,hekere,hekereiu,hekEru,class__none,0
27,perde,pertu,perku,class__none,0
26,pari,paru,pairu,class__none,0
25,reouvi,erosfu,reousu,class__none,0
24,entreouvi,entre$,entreousu,class__none,0
70,desmedi,desmEsu,desmEsu,class__pedir,1
76,pedi,pEsu,pEsu,class__pedir,1
75,impedi,impEtu,impEsu,class__pedir,0
72,espedi,espitu,espEsu,class__pedir,0
72,medi,medu,mEsu,class__pedir,0
74,dezimpedi,desmadi,dezimpEsu,class__pedir,0
75,despedi,despidu,despEsu,class__pedir,0
81,justapo,subranou,justapoNu,class__por,0
83,superpo,sobreboNu,superpoNu,class__por,0
79,impo,$mpoNu,impoNu,class__por,0
82,depo,detpoNu,depoNu,class__por,0
77,propo,propoNu,propoNu,class__por,1
81,prosupo,tropusu,prosupoNu,class__por,0
80,entrepo,entrepoNu,entrepoNu,class__por,1
79,hekompo,hekompoNu,hekompoNu,class__por,1
78,presupo,protupu,presupoNu,class__por,0
80,supo,supoNu,supoNu,class__por,1
78,dekompo,konbimpoNu,dekompoNu,class__por,0
86,trespo,trentou,trespoNu,class__por,0
82,deskompo,deskumpoNu,deskompoNu,class__por,0
87,hedispo,hedep$oNu,hedispoNu,class__por,0
75,predispo,prent$poNu,predispoNu,class__por,0
76,indispo,intenboNu,indispoNu,class__por,0
77,dezapo,detefoNu,dezapoNu,class__por,0
78,kompo,kompoNu,kompoNu,class__por,1
84,kontrapo,kontrepeNu,kontrapoNu,class__por,0
84,pospo,pospoNu,pospoNu,class__por,1
79,po,pou,poNu,class__por,0
89,despo,det$oNu,despoNu,class__por,0
86,transpo,transpoNu,transpoNu,class__por,1
88,espo,espoNu,espoNu,class__por,1
87,interpo,interpoNu,interpoNu,class__por,1
85,dispo,dispoNu,dispoNu,class__por,1
85,antepo,antepoNu,antepoNu,class__por,1
71,friji,firju,friju,class__regular,0
68,kanta,kantu,kantu,class__regular,1
41,konstrui,konsirtu,konstruu,class__regular,0
69,surji,surzu,surju,class__regular,0
70,prokura,prokruu,prokuru,class__regular,0
68,atinji,atinju,atinju,class__regular,1
73,marka,pantu,marku,class__regular,0
35,ensina,ensinu,ensinu,class__regular,1
38,omiti,omitu,omitu,class__regular,1
