;prediction;expected
0;#insendeiu#;#odeiu#
1;#hemedeiu#;#medeiu#
2;#ensensensen;#bOiu#
3;#andeviar#;#bOtu#
4;#tOmu#;#tOku#
5;#sOku#;#fOku#
6;#Oru#;#xOru#
7;#lansuruu#;#nOtu#
8;#sortu#;#surtu#
9;#digu#;#digu#
10;#fasu#;#fasu#
11;#insatisfasu;#satisfasu#
12;#mandukaba#;#maufasu#
13;#kreiu#;#kreiu#
14;#mexu#;#mintu#
15;#sentu#;#sintu#
16;#meresmEsu#;#mEsu#
17;#impEsu#;#imponiu#
18;#presuponiu#;#suponiu#
19;#anteponiu#;#deponiu#
20;#esponiu#;#esponiu#
21;#disponiu#;#disponiu#
22;#fExu#;#firu#
23;#veju#;#vistu#
24;#seniu#;#sirvu#
25;#kohiju#;#sigu#
26;#kompitu#;#hepitu#
27;#deteniu#;#deteniu#
28;#teniu#;#teniu#
29;#provermetEs;#protEstu#
30;#espEsu#;#espEru#
31;#xegu#;#pEgu#
32;#segu#;#sEgu#
33;#preveju#;#preveju#
34;#viaju#;#veniu#
35;#adiveniu#;#adiveniu#
36;#julgu#;#juntu#
37;#garantu#;#gastu#
38;#indu#;#findu#
39;#entupu#;#kuspu#
40;#konsumu#;#sumu#
41;#mou#;#mohu#
42;#fExu#;#axu#
43;#atinju#;#finju#
44;#kontravidis;#kontu#
45;#dansu#;#pensu#
46;#dezistu#;#ezistu#
47;#kultivu#;#kumpru#
48;#xamu#;#amu#
49;#permitu#;#omitu#
50;#deskreveju#;#devu#
51;#kohompu#;#hompu#
52;#sendu#;#sedu#
53;#bulu#;#busku#
54;#eskutu#;#eskutu#
55;#mantu#;#matu#
56;#paretOmurtu;#pagu#
57;#sakudu#;#saiu#
58;#ateniu#;#batu#
59;#infOrmitu#;#durmu#
60;#deskrekosa#;#destruu#
61;#espedu#;#esvaiu#
62;#sustendu#;#suspendu#
63;#kantu#;#kaiu#
64;#esprimu#;#imprimu#
65;#hemedeiu#;#hemedu#
66;#infOrmu#;#influu#
67;#sakudu#;#sauvu#
68;#prendu#;#prendu#
69;#disponiu#;#distraiu#
70;#sakudu#;#akudu#
71;#subimetu#;#subu#
72;#teleiu#;#eleju#
73;#konsintu#;#konstruu#
74;#tendu#;#tendu#
75;#akompaniu#;#ganiu#
76;#asistu#;#aseitu#
77;#konfiru#;#konfuju#
