infinitive,predicted,target,class
odia,oduu,odeiu,class__ansiar
media,menguu,medeiu,class__ansiar
hemedia,hemedeuu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intentreiuu,intermedeiu,class__ansiar
insendia,entenezu,insendeiu,class__ansiar
pleitea,,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,paasu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,nOtu,nOtu,class__botar
boia,pO,bOiu,class__botar
koloka,kokulu,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kostu,kOrtu,class__botar
akorda,akr$tu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,in$$u,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,jo$gu,vOltu,class__botar
joga,xOgu,jOgu,class__botar
mostra,postru,mOstru,class__botar
troka,triku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,sentruu,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEntu,infOrmu,class__botar
enkosta,entondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$$u,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,pOru,tOmu,class__botar
kobri,ko,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,engulu,engulu,class__cobrir
deskobri,despudu,deskubru,class__cobrir
enkobri,enkuttu,enkubru,class__cobrir
hekobri,hekOttu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hediru,hedigu,class__dizer
desdize,desk$su,desdigu,class__dizer
entredize,entredezu,entredigu,class__dizer
interdize,interdefu,interdigu,class__dizer
kondize,kondesu,kondigu,class__dizer
kontradize,kontrafasu,kontradigu,class__dizer
despraze,destradu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
putrefaze,ponverfiru,putrefasu,class__fazer
benfaze,bes$asu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,sasisfasu,satisfasu,class__fazer
insatisfaze,insisefassu,insatisfasu,class__fazer
likefaze,agux$s,likefasu,class__fazer
transfaze,transf$$u,transfasu,class__fazer
kontrafaze,kontrafasu,kontrafasu,class__fazer
tohefaze,tofesfu,tohefasu,class__fazer
harefaze,faras$u,harefasu,class__fazer
esfaze,esvasu,esfasu,class__fazer
maufaze,$$afisu,maufasu,class__fazer
kre,kOru,kreiu,class__ler
tresle,treve$u,treleiu,class__ler
le,$leu,leiu,class__ler
hele,hepelu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,despantu,desmintu,class__mentir
konsenti,konsintu,konsintu,class__mentir
senti,sendu,sintu,class__mentir
presenti,prensitu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,ans$,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pertenu,persintu,class__mentir
entreouvi,entrovuu,entreousu,class__none
reouvi,ensuu,reousu,class__none
pari,paru,pairu,class__none
perde,perdeiu,perku,class__none
